Glottocode,ISO,Name_SIL,Language name,Longitude,Latitude,Area_GLOT,Continent_SIL,Country,Status_GLOT,Population_SIL,Family_SIL_Lv1,Family_SIL_Lv2,Family_SIL_Lv3,Family_GLOT_Lv1,Family_GLOT_Lv2,Family_GLOT_Lv3
wayo1238,wyr,Wayoro,Wayor?,-61.3064,-12.6945,South America,Americas,Brazil (BR),nearly extinct,80,Tupi,Tupari,NA,Tupian,Tuparic,Nuclear Tuparic
wayu1241,vay,Wayu,Wayu,86.1227,27.3047,Eurasia,Asia,Nepal (NP),shifting,1740,Sino-Tibetan,Tibeto-Burman,Mahakiranti,Sino-Tibetan,Himalayish,Mahakiranti
wayu1242,unknow,NA,Wayumara,-61.2108,3.13311,South America,NA,Brazil (BR),extinct,NA,NA,NA,NA,Cariban,Guianan,Maquiritari-Wayumara
wayu1243,guc,Wayuu,Wayuu,-72.1998,11.3956,South America,Americas,"Colombia (CO) / Venezuela, Bolivarian Republic of (VE)",threatened,170000,Arawakan,Maipuran,Caribbean,Arawakan,Northern Maipuran,Caribbean Arawakan
weda1241,wed,Wedau,Wedau,150.172,-10.1246,Papunesia,Pacific,Papua New Guinea (PG),not endangered,2200,Austronesian,Malayo-Polynesian,Eastern Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
wehh1238,weh,Weh,Weh,10.121,6.46164,Africa,Africa,Cameroon (CM),not endangered,6900,Niger-Congo,Atlantic-Congo,Benue-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo
weje1237,wew,Wejewa,Wewewa,119.349,-9.55099,Papunesia,Asia,Indonesia (ID),not endangered,65000,Austronesian,Malayo-Polynesian,Central Malayo-Polynesian,Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian
weli1239,klh,Weliki,Weliki,147.137,-5.98588,Papunesia,Pacific,Papua New Guinea (PG),shifting,200,Trans-New Guinea,Finisterre-Huon,Uruwa,Nuclear Trans New Guinea,Finisterre-Huon,Finisterre-Saruwaged
wels1246,rmw,Welsh Romani,Welsh Romani,-3.7888,52.1166,Eurasia,Europe,United Kingdom (GB),shifting,0,Indo-European,Indo-Iranian,Central zone,Indo-European,Indo-Iranian,Indo-Aryan
wels1247,cym,Welsh,Welsh,-4,52,Eurasia,Europe,United Kingdom (GB),threatened,508000,Indo-European,Celtic,Brythonic,Indo-European,Celtic,Nuclear Celtic
weme1239,wem,Weme Gbe,Weme Gbe,2.47457,6.77227,Africa,Africa,Benin (BJ),not endangered,60000,Niger-Congo,Atlantic-Congo,Kwa,Atlantic-Congo,Volta-Congo,Kwa Volta-Congo
weno1238,wob,We Northern,Wobe-W? Northern,-7.24617,7.40391,Africa,Africa,C?te d'Ivoire (CI),not endangered,156000,Niger-Congo,Atlantic-Congo,Kru,Atlantic-Congo,Volta-Congo,Kru
wenr1236,unknow,NA,Wenro,-78.4756,43.14,North America,NA,United States (US),NA,NA,NA,NA,NA,Unclassifiable,NA,NA
were1244,wei,Weredai,Were,142.447,-8.42194,Papunesia,Pacific,Papua New Guinea (PG),not endangered,490,Trans-New Guinea,Tirio,NA,Anim,Tirio,Nuclear Tirio
weri1253,wer,Weri,Weri,146.914,-7.71834,Papunesia,Pacific,Papua New Guinea (PG),not endangered,4160,Trans-New Guinea,Southeast Papuan,Kunimaipa,Goilalan,Weric,NA
wers1238,kvw,Wersing,Wersing,124.932,-8.33936,Papunesia,Asia,Indonesia (ID),threatened,3700,Trans-New Guinea,West,Kolana,Timor-Alor-Pantar,Alor-Pantar,Alor
weso1238,gxx,We Southern,W? Southern,-7.63427,6.50013,Africa,Africa,C?te d'Ivoire (CI) / Liberia (LR),not endangered,293000,Niger-Congo,Atlantic-Congo,Kru,Atlantic-Congo,Volta-Congo,Kru
west1506,ywl,Western Lalu,Western Lalu,98.9,24.73,Eurasia,Asia,China (CN),threatened,38000,Sino-Tibetan,Tibeto-Burman,Ngwi,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese
