"glottocode","society","family","macroarea","continent","vitality","Pop_area","Pop_indiv","EA005","EA015","EA015_2","EA033","EA043","EA202","per_wetqu","n_warm_month","elevSD","lang_rich","phylo_rich","id","Long","Lat"
"isok1239","Isoko","atla1278","Africa","Africa",1,0.185933347004499,0.000503571428571429,5,"endogamy","yes",1,"unilineal",0.00543716433504296,0.555847953216374,1,0.0483497274583347,0.166480446927374,0.0327868852459016,"1030",6,5
"isth1238","Mixe","mixe1284","North America","Americas",0.8,0.0085685683005459,0.0000238095238095238,8,"endogamy","yes",1,"non-unilineal",NA,0.573099415204678,1,0.085671494890615,0.214525139664804,0.0983606557377049,"836",-95,17
"itel1242","Itelmen","chuk1271","Eurasia","Asia",0.4,0.00000137495627503359,0.000000452380952380952,0,"agamy","no",0,"non-unilineal",0.000149662550511111,0.123684210526316,0,0.215425143217061,0.00223463687150838,0.0163934426229508,"167",161.79,54.98
"iyow1239","Choroti","mata1289","South America","Americas",0.6,0.0171773287439946,0.00000178571428571429,1,"exogamy","no",0,"non-unilineal",0.0000309125104329723,0.191812865497076,1,0.00155601449610005,0.017877094972067,0.0655737704918033,"673",-62,-22
"java1254","Javanese","aust1307","Papunesia","Asia",1,0.487658835717782,0.100357142857143,8,"agamy","no",4,"non-unilineal",0.000299662601136128,0.65233918128655,1,0.164503373546714,0.15195530726257,0.0327868852459016,"1108",110,-7
"jebl1238","Jebala","afro1255","Africa","Africa",NA,0.0797836470118175,NA,7,"agamy","no",2,"unilineal",0.00624966460926181,0.0309941520467836,0.75,0.323292939510268,0.00446927374301676,0,"626",-5,35
"jeme1245","Jemez","kiow1265","North America","Americas",0.6,0.000674669334323061,0.00000154761904761905,7,"endogamy","no",0,"unilineal",0.00000778750262828214,0.0567251461988304,0.333333333333333,0.149743387802723,0.0111731843575419,0.0819672131147541,"508",-107,36
"jena1242","Nononke","mand1469","Africa","Africa",1,0.0337348416724281,0.00023452380952381,5,"endogamy","yes",1,NA,NA,0.402923976608187,1,0.0177537788705605,0.0782122905027933,0.0491803278688525,"968",-4,14
"jibu1239","Jibu","atla1278","Africa","Africa",1,0.0668358393569836,0.0000357142857142857,7,NA,NA,NA,"non-unilineal",0.0000621625209798508,0.460818713450292,1,0.114006232992366,0.283798882681564,0.0491803278688525,"1031",11,8
"jica1244","Jicarilla","atha1245","North America","Americas",0.6,0.0000253715615803567,0.00000080952380952381,2,"agamy","no",0,"non-unilineal",0.00000966250326109485,0.112280701754386,0.416666666666667,0.141663305874812,0.00670391061452514,0.0491803278688525,"509",-104,36
"jiee1239","Jie","nilo1247","Africa","Africa",NA,0.0801260111243008,NA,6,"agamy","no",1,"unilineal",0.000224662575823619,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",34,3
"jirj1239","Yir Yoront","pama1250","Australia","Pacific",NA,0.000061015493857609,NA,0,"exogamy","yes",0,"unilineal",NA,0.298538011695906,1,0.0361719513426005,0.0491620111731844,0.0983606557377049,"759",142,-15
"juho1239","!Kung","kxaa1236","Africa","Africa",0.8,0.00603786720039092,0.000034047619047619,0,"exogamy","no",0,"non-unilineal",0.0000434125146517237,0.20233918128655,1,0.0111283822160241,0.0111731843575419,0.0327868852459016,"740",21,-20
"juku1254","Jukun","atla1278","Africa","Africa",1,0.0668358393569836,0.0000029047619047619,6,"agamy","no",0,"non-unilineal",0.000312162605354879,0.460818713450292,1,0.114006232992366,0.283798882681564,0.0491803278688525,"1031",10,8
"juxt1235","Mixtec","otom1299","North America","Americas",0.8,0.00519176976501907,0.000019047619047619,8,NA,NA,NA,"non-unilineal",NA,0.49093567251462,1,0.409385050884626,0.0603351955307263,0.0655737704918033,"835",-98,18
"kaba1278","Cherkess","abkh1242","Eurasia","Asia",0.8,0.000883590322008428,0.00119047619047619,5,"agamy","no",1,"unilineal",0.00312466355457395,0.0596491228070175,0.416666666666667,0.0298999538700814,0.00111731843575419,0.0163934426229508,"300",42,44
"kabi1261","Kabre","atla1278","Africa","Africa",1,0.0594162026113857,0.000833333333333333,6,"endogamy","yes",0,"unilineal",0.00196216316223007,0.328070175438597,1,0.0131360501958677,0.0670391061452514,0.0655737704918033,"910",2,10
"kaby1243","Kabyle","afro1255","Africa","Africa",0.8,0.145174758299422,0.00302380952380952,7,"endogamy","yes",3,"unilineal",0.0124996667186375,0.0988304093567251,0.5,0.217515164305239,0.0201117318435754,0.0655737704918033,"475",4,36
"kach1279","Kachari","sino1245","Eurasia","Asia",0.6,0.0181422332564473,0.0000702380952380952,7,NA,NA,NA,"unilineal",NA,0.102923976608187,0,0.247770006647971,0.0558659217877095,0.0163934426229508,"588",90,27
"kach1280","Kachin","sino1245","Eurasia","Asia",1,0.0376188905242627,0.00107142857142857,6,"endogamy","yes",1,"unilineal",0.00374966376551152,0.533040935672515,0.75,0.256943992802373,0.0759776536312849,0.0327868852459016,"697",97,26
"kada1284","Adara","atla1278","Africa","Africa",1,0.196308086814377,0.0000476190476190476,7,"endogamy","yes",1,"unilineal",0.000124662542073608,0.374853801169591,1,0.0604870329858802,0.145251396648045,0.0983606557377049,"911",8,10
"kadi1248","Kadiwéu","guai1249","South America","Americas",0.6,0.0171773287439946,0.00000189285714285714,2,NA,NA,1,"non-unilineal",0.00000153750051890643,0.191812865497076,1,0.00155601449610005,0.017877094972067,0.0655737704918033,"673",-57,-22
"kafa1242","Kafa","gong1255","Africa","Africa",1,0.0801260111243008,0.000678571428571429,6,NA,NA,4,"unilineal",NA,0.173976608187135,1,0.327058999443162,0.0793296089385475,0.131147540983607,"1035",36,7
